ASSERTION	AAMAAQ9DcmVhdGUgbmV3IHVzZXIDAAECAQAAAAAAAGCDQA==
ASSERTION	AAMAAQlHZXQgdXNlcnMDAAECAQAAAAAAAABpQA==
ASSERTION	AAMAAQhHZXQgdXNlcgMAAQIBAAAAAAAAQGVA
ASSERTION	AAMAAQtVcGRhdGUgdXNlcgMAAQIBAAAAAAAAUIRA
ASSERTION	AAECAAMBAAAAAAAAABRA
RUN	simulations.ReqresSimulation	reqressimulation	1606851497087	 	3.4.1
REQUEST		Get users	1606851523260	1606851523279	OK	 
REQUEST		Get user	1606851523236	1606851523285	OK	 
REQUEST		Get users	1606851523373	1606851523395	OK	 
USER	Get users scenario	END	1606851523398
REQUEST		Get users	1606851523487	1606851523507	OK	 
USER	Get users scenario	END	1606851523544
REQUEST		Get users	1606851523600	1606851523619	OK	 
USER	Get users scenario	END	1606851523686
REQUEST		Get users	1606851523708	1606851523728	OK	 
USER	Get users scenario	END	1606851523825
REQUEST		Get users	1606851523826	1606851523846	OK	 
REQUEST		Get users	1606851523937	1606851523961	OK	 
USER	Get users scenario	END	1606851523966
REQUEST		Get users	1606851524056	1606851524077	OK	 
USER	Get users scenario	END	1606851524114
REQUEST		Get users	1606851524172	1606851524195	OK	 
USER	Get users scenario	END	1606851524252
REQUEST		Get users	1606851524268	1606851524288	OK	 
USER	Get users scenario	END	1606851524395
REQUEST		Get users	1606851524379	1606851524405	OK	 
REQUEST		Get users	1606851524462	1606851524490	OK	 
USER	Get users scenario	END	1606851524506
REQUEST		Get users	1606851524559	1606851524582	OK	 
USER	Get users scenario	END	1606851524626
REQUEST		Get users	1606851524646	1606851524665	OK	 
USER	Get users scenario	END	1606851524737
REQUEST		Get users	1606851524735	1606851524758	OK	 
USER	Get users scenario	END	1606851524847
REQUEST		Get users	1606851524828	1606851524850	OK	 
REQUEST		Get users	1606851524921	1606851524941	OK	 
USER	Get users scenario	END	1606851524958
REQUEST		Get users	1606851525038	1606851525056	OK	 
USER	Get users scenario	END	1606851525059
REQUEST		Get users	1606851525105	1606851525133	OK	 
USER	Get users scenario	END	1606851525181
REQUEST		Get users	1606851525201	1606851525227	OK	 
USER	Get users scenario	END	1606851525280
REQUEST		Get users	1606851525286	1606851525309	OK	 
USER	Get users scenario	END	1606851525396
USER	Get users scenario	END	1606851525509
USER	Get users scenario	END	1606851525620
USER	Get users scenario	END	1606851525730
USER	Get users scenario	END	1606851525848
USER	Get users scenario	END	1606851525962
USER	Get users scenario	END	1606851526078
USER	Get users scenario	END	1606851526196
USER	Get users scenario	END	1606851526289
USER	Get users scenario	END	1606851526406
USER	Get users scenario	END	1606851526491
USER	Get users scenario	END	1606851526583
USER	Get users scenario	END	1606851526666
USER	Get users scenario	END	1606851526760
USER	Get users scenario	END	1606851526852
USER	Get users scenario	END	1606851526943
USER	Get users scenario	END	1606851527058
USER	Get users scenario	END	1606851527134
USER	Get users scenario	END	1606851527228
USER	Get users scenario	END	1606851527310
